graph_id,algorithm,vertices,edges,total_cost,steps,time_ms
1,kruskal,5,6,2355.000,6,0.017
1,prim,5,6,2355.000,37,0.025
2,kruskal,10,21,2053.000,21,0.007
2,prim,10,21,2053.000,142,0.026
3,kruskal,15,25,4026.000,25,0.010
3,prim,15,25,4026.000,275,0.078
4,kruskal,20,94,2694.000,94,0.044
4,prim,20,94,2694.000,588,0.167
5,kruskal,25,132,3129.000,132,0.051
5,prim,25,132,3129.000,889,0.221
6,kruskal,30,49,9647.000,49,0.015
6,prim,30,49,9647.000,998,0.156
7,kruskal,60,68,21992.000,68,0.021
7,prim,60,68,21414.000,3374,0.380
8,kruskal,90,321,17875.000,321,0.051
8,prim,90,321,17875.000,8742,2.064
9,kruskal,120,1860,4236.000,1860,0.458
9,prim,120,1860,4236.000,18120,3.995
10,kruskal,150,5366,2363.000,5366,0.853
10,prim,150,5366,2363.000,33232,8.750
11,kruskal,180,2689,8344.000,2689,0.443
11,prim,180,2689,8344.000,37778,1.683
12,kruskal,210,277,77732.000,277,0.053
12,prim,210,277,77293.000,42552,0.654
13,kruskal,240,306,77782.000,306,0.043
13,prim,240,306,74194.000,51240,0.713
14,kruskal,270,11442,4159.000,11442,2.617
14,prim,270,11442,4159.000,95784,34.698
15,kruskal,300,3044,18305.000,3044,0.710
15,prim,300,3044,18305.000,96088,10.445
16,kruskal,400,8980,10897.000,8980,2.613
16,prim,400,8980,10897.000,177960,5.710
17,kruskal,450,617,162203.000,617,0.135
17,prim,450,617,160183.000,188428,0.648
18,kruskal,500,18864,7758.000,18864,6.284
18,prim,500,18864,7758.000,287728,40.915
19,kruskal,550,3111,59403.000,3111,0.849
19,prim,550,3111,59403.000,308722,6.143
20,kruskal,600,15920,14263.000,15920,5.341
20,prim,600,15920,14263.000,391840,23.961
21,kruskal,650,659,240061.000,659,0.148
21,prim,650,659,226686.000,337964,1.543
22,kruskal,700,776,257964.000,776,0.163
22,prim,700,776,253318.000,429232,4.673
23,kruskal,750,1183,244237.000,1183,0.247
23,prim,750,1183,242621.000,542362,56.993
24,kruskal,800,1188,252364.000,1188,0.134
24,prim,800,1188,251764.000,611172,1.626
25,kruskal,850,1492,264581.000,1492,0.195
25,prim,850,1492,264139.000,705080,2.057
26,kruskal,1300,2392,390428.000,2392,0.500
26,prim,1300,2392,390428.000,1645384,5.031
27,kruskal,1600,2916,472614.000,2916,0.645
27,prim,1600,2916,470589.000,2497024,8.839
28,kruskal,1900,3226,582972.000,3226,0.696
28,prim,1900,3226,582972.000,3500552,9.968
