graph_id,algorithm,vertices,edges,total_cost,steps,time_ms
1,kruskal,5,6,2355.000,22,0.012
1,prim,5,6,2355.000,12,0.026
2,kruskal,10,21,2053.000,94,0.006
2,prim,10,21,2053.000,42,0.019
3,kruskal,15,25,4026.000,112,0.010
3,prim,15,25,4026.000,50,0.079
4,kruskal,20,94,2694.000,445,0.054
4,prim,20,94,2694.000,188,0.155
5,kruskal,25,132,3129.000,626,0.049
5,prim,25,132,3129.000,264,0.124
6,kruskal,30,49,9647.000,223,0.012
6,prim,30,49,9647.000,98,0.044
7,kruskal,60,68,21992.000,292,0.016
7,prim,60,68,21414.000,134,0.076
8,kruskal,90,321,17875.000,1537,0.043
8,prim,90,321,17875.000,642,0.447
9,kruskal,120,1860,4236.000,9205,0.251
9,prim,120,1860,4236.000,3720,0.582
10,kruskal,150,5366,2363.000,26684,0.503
10,prim,150,5366,2363.000,10732,1.375
11,kruskal,180,2689,8344.000,13322,0.286
11,prim,180,2689,8344.000,5378,1.080
12,kruskal,210,277,77732.000,1251,0.037
12,prim,210,277,77293.000,552,0.239
13,kruskal,240,306,77782.000,1371,0.042
13,prim,240,306,74194.000,600,0.237
14,kruskal,270,11442,4159.000,57012,1.958
14,prim,270,11442,4159.000,22884,4.658
15,kruskal,300,3044,18305.000,15033,0.361
15,prim,300,3044,18305.000,6088,1.402
16,kruskal,400,8980,10897.000,44633,0.715
16,prim,400,8980,10897.000,17960,3.557
17,kruskal,450,617,162203.000,2807,0.058
17,prim,450,617,160183.000,1228,0.257
18,kruskal,500,18864,7758.000,94022,3.013
18,prim,500,18864,7758.000,37728,3.130
19,kruskal,550,3111,59403.000,15252,0.311
19,prim,550,3111,59403.000,6222,0.923
20,kruskal,600,15920,14263.000,79235,1.703
20,prim,600,15920,14263.000,31840,3.207
21,kruskal,650,659,240061.000,2863,0.064
21,prim,650,659,226686.000,1264,0.185
22,kruskal,700,776,257964.000,3419,0.108
22,prim,700,776,253318.000,1532,0.238
23,kruskal,750,1183,244237.000,5477,0.066
23,prim,750,1183,242621.000,2362,0.415
24,kruskal,800,1188,252364.000,5466,0.075
24,prim,800,1188,251764.000,2372,0.365
25,kruskal,850,1492,264581.000,6990,0.048
25,prim,850,1492,264139.000,2980,0.416
26,kruskal,1300,2392,390428.000,11242,0.073
26,prim,1300,2392,390428.000,4784,0.723
27,kruskal,1600,2916,472614.000,13751,0.088
27,prim,1600,2916,470589.000,5824,0.839
28,kruskal,1900,3226,582972.000,15145,0.117
28,prim,1900,3226,582972.000,6452,1.045
